fip,Tow_4-D,ATRAZINE,CHLORIMURON,DICAMBA,FOMESAFEN,GLYPHOSATE,PARAQUAT
05047,4130.2,145.3,5.1,287.2,100.7,1687.5,5.5
05049,4366.5,,,235.6,,155.2,
05051,700.3,,,115,,12.5,
05053,456.4,,,75,,12.7,
05055,5788,9955.5,51.7,69.8,904,40496.2,980.5
05057,12578,113.3,1.8,1933.8,51,738.5,33.6
05059,1713.1,1425.7,1.1,151.7,40.2,1367.3,39.9
05061,5967,,,927,,4.5,60.5
05063,8963.6,7527.8,21.1,191.1,369.8,15003.2,323.6
05065,2826.1,,,152.6,,54.2,8.9
05067,7431.8,13511.7,91,32.6,1592.3,65303,878.5
05069,13414.7,2336,84.6,157.3,2301.5,72891,1512.9
05071,2116.6,551.4,9.1,134.6,179.9,3064.3,130.1
05073,6011.1,1693.7,8.4,609.7,231.8,4577.3,324.1
05075,8381.1,3785.8,55.8,75.1,975.9,41244.7,489.9
05077,8237.3,13315.3,85.6,71.3,3933.1,49123,1849.1
05079,7997.8,393.2,44.2,75.5,1201.7,41799.3,707.8
05081,9328.1,1650.3,9.1,1129.5,251.2,4421.7,82.4
05083,5245.8,1334,14.6,322.7,287.8,5039.5,40.2
05085,7215.7,3546.2,65.6,73,3014.6,36228.5,1457.4
05087,14943.8,,,887.1,,313.6,69.8
05089,2648.3,,,143,,50,2.5
05091,9841.1,2127,17.1,1111.7,473.3,8053.9,250.1
05093,6892.8,12438.9,108.6,246.7,1900.5,127007.6,4483.9
05095,6540.1,23288.1,47.7,41.2,2190.3,26441.3,1520.7
05097,3349.1,,,520.4,,1.6,5.4
05099,3655.1,157.2,0.2,269,8.1,337.2,9.2
05101,6555.6,,,389.3,,166.7,20.5
05103,1236.4,,,94.3,,53,
05105,1162.6,289.4,2.2,97.5,80,2828.9,20.9
05107,9264.4,7427.8,87.7,119.5,4027.3,64844.2,1992.2
05109,3249.6,45.5,0.6,493.7,17.4,263.7,5.2
05111,9013.9,3348.5,86.3,85.3,1510.1,77322.6,1694.2
05113,3197.1,,,225.3,,72.4,3.2
05115,3513.6,449.4,21.9,196.3,431.7,7491.1,73.2
05117,5918.6,4795.8,63.1,24,2896.8,25801.7,1397.3
05119,4190.4,2669.1,15.4,151,550.4,21369.4,155.8
05121,7562.2,9024.7,24.4,144.6,426.3,17212.6,413.4
05123,6759.5,3211.5,77.9,37.3,3579.8,36550,1586.3
05125,640.9,,0.2,104.8,7.6,229.7,13.3
05127,2455.5,,,173.1,,55.2,
05129,2823.6,,,152.4,,137.2,
05131,2983.7,415.4,7.1,200.5,140.4,2334.8,11.5
05133,6303.4,,0.6,976.8,17.4,232.3,14.3
05135,2804.5,8.8,0.9,151,17.4,404.7,0.9
05137,1855.2,,,100.2,,35,0.5
05139,1339.1,,,102.1,,57.5,
05141,1279.1,133.6,,66.8,,770.8,13.4
05143,18777.5,454.1,,1111.3,,552.6,128.4
05145,8589.3,4819.8,27.9,163.9,488,20278.5,314.2
05147,7543,20685.1,72.3,30.7,3320.8,31067,1812.6
05149,5461.8,1607,24.3,272,479.7,8048.1,43.6
06001,290.4,,,,,328.2,1010.1
06005,185.2,14.3,,,,580.6,218.2
06007,6877.7,70.6,,76.2,,48858.3,2517.9
06009,52.1,323.3,,0.2,,1562.1,38.6
06011,2027.7,21,,34.9,,21536.7,1813.9
06013,2940,589.1,,103.3,,4184.4,524.4
06015,2095.6,650,,,,377.6,2.5
06017,9.2,44.2,,,,258.2,56.6
06019,6747.6,9.1,,914,,245972.1,104174.2
06021,5148.4,,,163.9,,8937.4,2495.4
06025,11472.4,6888,,,,11361.2,1419.8
06029,2981.4,,,441.2,,198389.9,89235.3
06031,27272.7,,,953.8,,44630.4,52511.6
06033,230.2,,,,,4786.5,527.6
06037,95.3,,,,,3386.7,1316.3
06039,2213,,,223.9,,95175.2,24606.7
06041,,,,,,29.1,
06043,58.3,,,,,1937.2,
06045,335.9,,,0.2,,6879.1,412.9
06047,14611.7,,,559.4,,110739.7,29808.6
06049,951.3,,,92.1,,223.8,
06053,1096,4.7,,118.1,,34907.2,11187.2
06055,34.9,,,,,14109.8,168.2
06057,,,,,,227.6,
06059,22.1,,,,,5658.8,590.8
06061,505.4,246.1,,,,897.3,5.1
06063,677.7,,,,,335.1,330.8
06065,3546.9,127,,162.8,,25326.5,3006.9
06067,9347.2,4953.1,,380.4,,23188.3,6379.2
06069,1111.8,,,26.5,,4856.9,1404.3
06071,960.7,,,63.8,,3100.7,478.2
06073,307.3,,,18.2,,13480.8,223.3
06077,16325.4,3638.2,,325.9,,60970.3,27265.6
06079,2202.9,1.7,,131,,19107.3,4385.9
06081,2,,,,,20.3,
06083,1279.4,1.7,,36.6,,19185.8,2551.5
06085,405.6,,,22.1,,1648,680.1
