FIPS,FIPSTEXT,FarmLand_Ac
12107,12107,70341
12109,12109,33447
12111,12111,195013
12113,12113,97809
12115,12115,80039
12117,12117,21792
12119,12119,183323
12121,12121,193455
12123,12123,37392
12125,12125,46295
12127,12127,105715
12129,12129,31049
12131,12131,148104
12133,12133,58324
13001,13001,123012
13003,13003,86861
13005,13005,63261
13007,13007,146412
13009,13009,18709
13011,13011,59713
13013,13013,29831
13015,13015,63818
13017,13017,57308
13019,13019,143462
13021,13021,14679
13023,13023,66039
13025,13025,23498
13027,13027,148322
13029,13029,15360
13031,13031,180476
13033,13033,161436
13035,13035,21044
13037,13037,107481
13039,13039,15694
13043,13043,53511
13045,13045,85913
13047,13047,20653
13049,13049,13368
13051,13051,3848
13053,13053,4139
13055,13055,50132
13057,13057,25063
13059,13059,8850
13061,13061,40014
13063,13063,816
13065,13065,26631
13067,13067,5218
13069,13069,167938
13071,13071,189388
13073,13073,13182
13075,13075,68488
13077,13077,55309
13079,13079,33895
13081,13081,117222
13083,13083,32513
13085,13085,12683
13087,13087,199121
13089,13089,2912
13091,13091,90135
13093,13093,126926
13095,13095,65410
13097,13097,8324
13099,13099,169279
13101,13101,13277
13103,13103,40357
13105,13105,57072
13107,13107,151585
13109,13109,36046
13111,13111,13874
13113,13113,11445
13115,13115,70152
13117,13117,16069
13119,13119,77322
13121,13121,14157
13123,13123,25642
13125,13125,24010
13127,13127,3490
13129,13129,84944
13131,13131,130314
13133,13133,48600
13135,13135,10468
13137,13137,37908
13139,13139,52062
13141,13141,31957
13143,13143,26727
13145,13145,32360
13147,13147,68269
13149,13149,27090
13151,13151,21411
13153,13153,47349
13155,13155,148548
13157,13157,77388
13159,13159,43826
13161,13161,78961
13163,13163,145563
13165,13165,91360
13167,13167,57014
13169,13169,22943
13171,13171,35467
13173,13173,41624
13175,13175,184447
13177,13177,105454
13179,13179,6603
13181,13181,23562
13183,13183,10250
13185,13185,65095
13187,13187,17383
13189,13189,37898
13191,13191,17113
13193,13193,101025
13195,13195,71188
13197,13197,47319
13199,13199,61911
13201,13201,95797
13205,13205,191076
13207,13207,34476
13209,13209,57793
13211,13211,94479
13213,13213,46961
13215,13215,4294
13217,13217,40988
13219,13219,45299
13221,13221,80919
13223,13223,8394
13225,13225,35295
13227,13227,16782
13229,13229,83819
13231,13231,38031
13233,13233,44886
13235,13235,62527
13237,13237,28455
13239,13239,9098
13241,13241,8054
13243,13243,119221
13245,13245,13908
13247,13247,5483
13249,13249,35464
13251,13251,180422
13253,13253,88221
13255,13255,18805
13257,13257,18459
13259,13259,59307
13261,13261,160331
13263,13263,33815
13265,13265,13825
13267,13267,107415
13269,13269,61475
13271,13271,66610
13273,13273,120651
13275,13275,173228
13277,13277,84982
13279,13279,73151
13281,13281,8420
13283,13283,35100
13285,13285,32326
13287,13287,86942
13289,13289,38767
13291,13291,20611
13293,13293,44712
13295,13295,79707
13297,13297,52666
13299,13299,56574
13301,13301,34388
13303,13303,99867
13305,13305,62436
13307,13307,48047
13309,13309,50682
13311,13311,23414
13313,13313,39038
13315,13315,115551
13317,13317,93748
13319,13319,16032
13321,13321,229378
15001,15001,685803
15003,15003,69191
15007,15007,144011
15009,15009,226730
16001,16001,144094
16003,16003,136062
16005,16005,295475
16007,16007,257904
16009,16009,146672
16011,16011,869675
16013,16013,178944
16015,16015,#VALUE!
16017,16017,80966
16019,16019,409620
16021,16021,75515
16023,16023,124528
16025,16025,167752
16027,16027,303572
16029,16029,394050
16031,16031,610820
16033,16033,151207
16035,16035,72343
16037,16037,141757
16039,16039,344399
16041,16041,262237
16043,16043,316127
16045,16045,178767
16047,16047,239905
16049,16049,640219
16051,16051,322679
16053,16053,188125
16055,16055,123558
16057,16057,416575
16059,16059,186931
16061,16061,221253
16063,16063,129937
16065,16065,201522
16067,16067,243698
16069,16069,322485
16071,16071,328416
16073,16073,750870
16075,16075,157029
16077,16077,467191
16079,16079,#VALUE!
16081,16081,133074
16083,16083,484579
16085,16085,60988
16087,16087,426790
17001,17001,388605
17003,17003,62404
17005,17005,198353
17007,17007,134751
17009,17009,137499
17011,17011,449950
17013,17013,87722
17015,17015,256356
17017,17017,182554
17019,17019,616429
17021,17021,373643
17023,17023,266676
17025,17025,270355
17027,17027,285501
17029,17029,266749
17031,17031,8467
17033,17033,214931
17035,17035,170079
17037,17037,397605
17039,17039,195402
17041,17041,262932
17043,17043,7336
17045,17045,351485
17047,17047,106761
17049,17049,287113
17051,17051,303102
17053,17053,308303
17055,17055,181351
17057,17057,355101
17059,17059,186295
17061,17061,290189
17063,17063,217004
17065,17065,223383
17067,17067,386068
17069,17069,33169
17071,17071,171674
17073,17073,479313
17075,17075,669304
17077,17077,214191
17079,17079,250660
17081,17081,213845
17083,17083,155511
17085,17085,271513
17087,17087,89804
17089,17089,168450
17091,17091,342511
17093,17093,129740
17095,17095,347547
17097,17097,30120
17099,17099,602258
17101,17101,184124
17103,17103,368800
17105,17105,656276
17107,17107,363120
17109,17109,291969
17111,17111,234339
17113,17113,692148
17115,17115,336705
17117,17117,438501
17119,17119,306919
17121,17121,266681
17123,17123,209177
17125,17125,289894
17127,17127,102174
17129,17129,157772
17131,17131,252136
17133,17133,193190
17135,17135,382355
17137,17137,309065
17139,17139,204898
17141,17141,376254
17143,17143,249865
17145,17145,180667
17147,17147,259145
17149,17149,411310
17151,17151,77884
17153,17153,82096
17155,17155,60169
17157,17157,278442
